operationID,vehicleID,StationIDs,routeIDs,startTime,endTime,VehicleType,operationServiceType
202504210004,TW_000000010,"[""S186000320"", ""S186001470"", ""S186001130"", ""S186001090""]","[2025042100019, 2025042100020, 2025042100021]",202504211051,202504211116,IONIQ5,POOL
202504210005,TW_000000003,"[""S413000840"", ""S413001240"", ""S413000340"", ""S413000830""]","[2025042100061, 2025042100062, 2025042100063]",202504211457,202504211512,carnivalReg,POOL
202504210005,TW_000000010,"[""S186000320"", ""S186001260"", ""S186000900"", ""S186001090""]","[2025042100031, 2025042100032, 2025042100033]",202504211520,202504211541,IONIQ5,POOL
202504210006,TW_000000003,"[""S413000840"", ""S413000140"", ""S413000160"", ""S413000830""]","[2025042100064, 2025042100065, 2025042100066]",202504211925,202504211940,carnivalReg,POOL
202504210006,TW_000000010,"[""S186000320"", ""S186001140"", ""S186000070"", ""S186001090""]","[2025042100040, 2025042100041, 2025042100042]",202504211250,202504211313,IONIQ5,POOL
202504210007,TW_000000003,"[""S413000840"", ""S413000860"", ""S413000410"", ""S413000830""]","[2025042100085, 2025042100086, 2025042100087]",202504212059,202504212111,carnivalReg,POOL
202504210007,TW_000000010,"[""S186000320"", ""S186000060"", ""S186001010"", ""S186001090""]","[2025042100049, 2025042100050, 2025042100051]",202504211620,202504211645,IONIQ5,POOL
202504210008,TW_000000003,"[""S413000840"", ""S413001210"", ""S413001180"", ""S413000540"", ""S413000390"", ""S413000360"", ""S413000350"", ""S413000830""]","[2025042100097, 2025042100098, 2025042100095, 2025042100099, 2025042100100, 2025042100089, 2025042100090]",202504211956,202504212022,carnivalReg,POOL
202504210008,TW_000000010,"[""S186000320"", ""S186000240"", ""S186000200"", ""S186000170"", ""S186000700"", ""S186000230"", ""S186001100"", ""S186001090""]","[2025042100052, 2025042100053, 2025042100091, 2025042100092, 2025042100110, 2025042100111, 2025042100112]",202504211921,202504212007,IONIQ5,POOL
202504210009,TW_000000003,"[""S413000840"", ""S413000590"", ""S413001100"", ""S413000830""]","[2025042100107, 2025042100108, 2025042100109]",202504212126,202504212137,carnivalReg,POOL
202504210009,TW_000000010,"[""S186000320"", ""S186000620"", ""S186000760"", ""S186001090""]","[2025042100058, 2025042100059, 2025042100060]",202504211656,202504211717,IONIQ5,POOL
202504210010,TW_000000003,"[""S413000840"", ""S413000250"", ""S413001150"", ""S413000830""]","[2025042100116, 2025042100117, 2025042100118]",202504212056,202504212112,carnivalReg,POOL
202504210010,TW_000000010,"[""S186000320"", ""S186000690"", ""S186000760"", ""S186001090""]","[2025042100067, 2025042100068, 2025042100069]",202504211757,202504211812,IONIQ5,POOL
202504210011,TW_000000003,"[""S413000840"", ""S413000960"", ""S413001100"", ""S413000830""]","[2025042100122, 2025042100123, 2025042100124]",202504210824,202504210835,carnivalReg,POOL
202504210011,TW_000000010,"[""S186000320"", ""S186000970"", ""S186000100"", ""S186001090""]","[2025042100073, 2025042100074, 2025042100075]",202504211720,202504211744,IONIQ5,POOL
202504210012,TW_000000003,"[""S413000840"", ""S413000360"", ""S413000950"", ""S413000830""]","[2025042100125, 2025042100126, 2025042100127]",202504210846,202504210859,carnivalReg,POOL
202504210012,TW_000000010,"[""S186000320"", ""S186000970"", ""S186000100"", ""S186001090""]","[2025042100076, 2025042100077, 2025042100078]",202504211720,202504211744,IONIQ5,POOL
202504210013,TW_000000003,"[""S413000840"", ""S413000240"", ""S413000590"", ""S413000830""]","[2025042100128, 2025042100129, 2025042100130]",202504210847,202504210900,carnivalReg,POOL
202504210013,TW_000000010,"[""S186000320"", ""S186001260"", ""S186000070"", ""S186001090""]","[2025042100079, 2025042100080, 2025042100081]",202504211850,202504211911,IONIQ5,POOL
202504210014,TW_000000003,"[""S413000840"", ""S413001100"", ""S413000400"", ""S413000830""]","[2025042100137, 2025042100138, 2025042100139]",202504211033,202504211048,carnivalReg,POOL
202504210014,TW_000000010,"[""S186000320"", ""S186001260"", ""S186000070"", ""S186001090""]","[2025042100082, 2025042100083, 2025042100084]",202504211850,202504211911,IONIQ5,POOL
202504210015,TW_000000003,"[""S413000840"", ""S413001110"", ""S413000620"", ""S413000830""]","[2025042100146, 2025042100147, 2025042100148]",202504211047,202504211100,carnivalReg,POOL
202504210015,TW_000000010,"[""S186000320"", ""S186000270"", ""S186000960"", ""S186001090""]","[2025042100101, 2025042100102, 2025042100103]",202504212125,202504212151,IONIQ5,POOL
202504210016,TW_000000003,"[""S413000840"", ""S413000830"", ""S413001160"", ""S413000830""]","[2025042100152, 2025042100153, 2025042100154]",202504211203,202504211216,carnivalReg,POOL
202504210016,TW_000000010,"[""S186000320"", ""S186000270"", ""S186000960"", ""S186001090""]","[2025042100104, 2025042100105, 2025042100106]",202504212125,202504212151,IONIQ5,POOL
202504210017,TW_000000003,"[""S413000840"", ""S413000690"", ""S413000090"", ""S413000830""]","[2025042100176, 2025042100177, 2025042100178]",202504211445,202504211500,carnivalReg,POOL
202504210017,TW_000000010,"[""S186000320"", ""S186000820"", ""S186000770"", ""S186001090""]","[2025042100113, 2025042100114, 2025042100115]",202504212050,202504212125,IONIQ5,POOL
202504210018,TW_000000003,"[""S413000840"", ""S413001080"", ""S413001100"", ""S413000830""]","[2025042100179, 2025042100180, 2025042100181]",202504211507,202504211518,carnivalReg,POOL
202504210018,TW_000000010,"[""S186000320"", ""S186000630"", ""S186001140"", ""S186001090""]","[2025042100131, 2025042100132, 2025042100133]",202504210944,202504211009,IONIQ5,POOL
202504210019,TW_000000003,"[""S413000840"", ""S413000230"", ""S413001140"", ""S413000830""]","[2025042100188, 2025042100189, 2025042100190]",202504211614,202504211631,carnivalReg,POOL
202504210019,TW_000000010,"[""S186000320"", ""S186001240"", ""S186000360"", ""S186001090""]","[2025042100134, 2025042100135, 2025042100136]",202504211009,202504211028,IONIQ5,POOL
202504210020,TW_000000003,"[""S413000840"", ""S413000950"", ""S413000470"", ""S413000830""]","[2025042100200, 2025042100201, 2025042100202]",202504211815,202504211829,carnivalReg,POOL
202504210020,TW_000000010,"[""S186000320"", ""S186000050"", ""S186000580"", ""S186001090""]","[2025042100140, 2025042100141, 2025042100142]",202504211035,202504211112,IONIQ5,POOL
202504210021,TW_000000003,"[""S413000840"", ""S413000970"", ""S413000790"", ""S413000830""]","[2025042100203, 2025042100204, 2025042100205]",202504211820,202504211831,carnivalReg,POOL
202504210021,TW_000000010,"[""S186000320"", ""S186001330"", ""S186000160"", ""S186001090""]","[2025042100143, 2025042100144, 2025042100145]",202504211044,202504211057,IONIQ5,POOL
202504210022,TW_000000003,"[""S413000840"", ""S413000020"", ""S413000360"", ""S413000830""]","[2025042100209, 2025042100210, 2025042100211]",202504211826,202504211843,carnivalReg,POOL
202504210022,TW_000000010,"[""S186000320"", ""S186000370"", ""S186000970"", ""S186001090""]","[2025042100149, 2025042100150, 2025042100151]",202504211154,202504211219,IONIQ5,POOL
202504210023,TW_000000003,"[""S413000840"", ""S413000610"", ""S413001230"", ""S413000830""]","[2025042100215, 2025042100216, 2025042100217]",202504211851,202504211907,carnivalReg,POOL
202504210023,TW_000000010,"[""S186000320"", ""S186000080"", ""S186000960"", ""S186001090""]","[2025042100158, 2025042100159, 2025042100160]",202504211301,202504211325,IONIQ5,POOL
202504210024,TW_000000003,"[""S413000840"", ""S413000270"", ""S413000150"", ""S413000830""]","[2025042100218, 2025042100219, 2025042100220]",202504211933,202504211950,carnivalReg,POOL
202504210024,TW_000000010,"[""S186000320"", ""S186000580"", ""S186000380"", ""S186001090""]","[2025042100173, 2025042100174, 2025042100175]",202504211409,202504211426,IONIQ5,POOL
202504210025,TW_000000003,"[""S413000840"", ""S413000560"", ""S413000710"", ""S413000830""]","[2025042100221, 2025042100222, 2025042100223]",202504212029,202504212043,carnivalReg,POOL
202504210025,TW_000000010,"[""S186000320"", ""S186000580"", ""S186000490"", ""S186001090""]","[2025042100182, 2025042100183, 2025042100184]",202504211548,202504211615,IONIQ5,POOL
202504210026,TW_000000010,"[""S186000320"", ""S186000700"", ""S186000020"", ""S186001090""]","[2025042100185, 2025042100186, 2025042100187]",202504211603,202504211625,IONIQ5,POOL
202504210027,TW_000000010,"[""S186000320"", ""S186000850"", ""S186001260"", ""S186001090""]","[2025042100191, 2025042100192, 2025042100193]",202504211708,202504211731,IONIQ5,POOL
202504210028,TW_000000010,"[""S186000320"", ""S186000230"", ""S186000160"", ""S186001090""]","[2025042100194, 2025042100195, 2025042100196]",202504211731,202504211748,IONIQ5,POOL
202504210029,TW_000000010,"[""S186000320"", ""S186000500"", ""S186001100"", ""S186001090""]","[2025042100197, 2025042100198, 2025042100199]",202504211759,202504211816,IONIQ5,POOL
202504210030,TW_000000010,"[""S186000320"", ""S186000800"", ""S186000010"", ""S186001090""]","[2025042100206, 2025042100207, 2025042100208]",202504211824,202504211845,IONIQ5,POOL
202504210031,TW_000000010,"[""S186000320"", ""S186000150"", ""S186001390"", ""S186001090""]","[2025042100212, 2025042100213, 2025042100214]",202504211835,202504211854,IONIQ5,POOL
202504210032,TW_000000010,"[""S186000320"", ""S186000740"", ""S186000570"", ""S186001090""]","[2025042100224, 2025042100225, 2025042100226]",202504212037,202504212103,IONIQ5,POOL
202504210033,TW_000000010,"[""S186000320"", ""S186000090"", ""S186001440"", ""S186001090""]","[2025042100227, 2025042100228, 2025042100229]",202504212058,202504212122,IONIQ5,POOL
202504220001,TW_000000001,"[""S413000840"", ""S413000580"", ""S413001130"", ""S413000830""]","[2025042200016, 2025042200017, 2025042200018]",202504221057,202504221111,carnivalReg,POOL
202504220001,TW_000000002,"[""S413000840"", ""S413000770"", ""S413000560"", ""S413000830""]","[2025042200022, 2025042200023, 2025042200024]",202504221156,202504221210,carnivalReg,POOL
202504220001,TW_000000003,"[""S413000840"", ""S413001230"", ""S413000460"", ""S413000710"", ""S413000520"", ""S413000300"", ""S413000270"", ""S413001090"", ""S413000350"", ""S413000830""]","[2025042200043, 2025042200044, 2025042200133, 2025042200134, 2025042200035, 2025042200135, 2025042200146, 2025042200147, 2025042200148]",202504221525,202504221559,carnivalReg,POOL
202504220001,TW_000000005,"[""S413000840"", ""S413000210"", ""S413001280"", ""S413000480"", ""S413001050"", ""S413000640"", ""S413000310"", ""S413000830""]","[2025042200010, 2025042200011, 2025042200076, 2025042200077, 2025042200196, 2025042200197, 2025042200198]",202504221927,202504222016,carnivalWheel,P2P
202504220001,TW_000000007,"[""S186000320"", ""S186000300"", ""S186000410"", ""S186001090""]","[2025042200001, 2025042200002, 2025042200003]",202504220955,202504221013,IONIQ5,POOL
202504220001,TW_000000010,"[""S186000320"", ""S186000730"", ""S186000700"", ""S186001090""]","[2025042200004, 2025042200005, 2025042200006]",202504221321,202504221345,IONIQ5,POOL
202504220002,TW_000000002,"[""S413000840"", ""S413001260"", ""S413000490"", ""S413000830""]","[2025042200094, 2025042200095, 2025042200096]",202504221110,202504221123,carnivalReg,POOL
202504220002,TW_000000003,"[""S413000840"", ""S413000720"", ""S413000120"", ""S413000170"", ""S413000810"", ""S413000830""]","[2025042200037, 2025042200038, 2025042200115, 2025042200116, 2025042200117]",202504221257,202504221318,carnivalReg,POOL
202504220002,TW_000000010,"[""S186000320"", ""S186001240"", ""S186000400"", ""S186001220"", ""S186000600"", ""S186001090""]","[2025042200007, 2025042200052, 2025042200053, 2025042200054, 2025042200009]",202504221723,202504221803,IONIQ5,POOL
202504220003,TW_000000003,"[""S413000840"", ""S413000690"", ""S413000540"", ""S413001050"", ""S413001070"", ""S413000830""]","[2025042200070, 2025042200071, 2025042200072, 2025042200056, 2025042200057]",202504221956,202504222010,carnivalReg,POOL
202504220003,TW_000000010,"[""S186000320"", ""S186001020"", ""S186001340"", ""S186001090""]","[2025042200013, 2025042200014, 2025042200015]",202504221555,202504221617,IONIQ5,POOL
202504220004,TW_000000003,"[""S413000840"", ""S413000390"", ""S413000690"", ""S413000520"", ""S413000150"", ""S413000560"", ""S413000260"", ""S413000240"", ""S413001010"", ""S413000830""]","[2025042200058, 2025042200059, 2025042200165, 2025042200166, 2025042200167, 2025042200168, 2025042200172, 2025042200173, 2025042200174]",202504221725,202504221802,carnivalReg,POOL
202504220004,TW_000000010,"[""S186000320"", ""S186001100"", ""S186000940"", ""S186001090""]","[2025042200019, 2025042200020, 2025042200021]",202504222123,202504222143,IONIQ5,POOL
202504220005,TW_000000003,"[""S413000840"", ""S413001240"", ""S413001130"", ""S413000830""]","[2025042200067, 2025042200068, 2025042200069]",202504222127,202504222141,carnivalReg,POOL
202504220005,TW_000000010,"[""S186000320"", ""S186000330"", ""S186000870"", ""S186001090""]","[2025042200025, 2025042200026, 2025042200027]",202504221957,202504222014,IONIQ5,POOL
202504220006,TW_000000003,"[""S413000840"", ""S413000170"", ""S413000450"", ""S413001050"", ""S413000700"", ""S413000900"", ""S413001120"", ""S413000830""]","[2025042200206, 2025042200207, 2025042200208, 2025042200203, 2025042200080, 2025042200204, 2025042200205]",202504222057,202504222122,carnivalReg,POOL
202504220006,TW_000000010,"[""S186000320"", ""S186000840"", ""S186000750"", ""S186001090""]","[2025042200028, 2025042200029, 2025042200030]",202504221658,202504221711,IONIQ5,POOL
202504220007,TW_000000003,"[""S413000840"", ""S413001190"", ""S413000150"", ""S413000830""]","[2025042200088, 2025042200089, 2025042200090]",202504220904,202504220921,carnivalReg,POOL
202504220007,TW_000000010,"[""S186000320"", ""S186000080"", ""S186000300"", ""S186001090""]","[2025042200031, 2025042200032, 2025042200033]",202504222124,202504222143,IONIQ5,POOL
202504220008,TW_000000003,"[""S413000840"", ""S413000330"", ""S413000110"", ""S413000830""]","[2025042200091, 2025042200092, 2025042200093]",202504221002,202504221017,carnivalReg,POOL
202504220008,TW_000000010,"[""S186000320"", ""S186000830"", ""S186000970"", ""S186001090""]","[2025042200040, 2025042200041, 2025042200042]",202504221749,202504221819,IONIQ5,POOL
202504220009,TW_000000003,"[""S413000840"", ""S413000800"", ""S413001230"", ""S413000830""]","[2025042200097, 2025042200098, 2025042200099]",202504221132,202504221145,carnivalReg,POOL
202504220009,TW_000000010,"[""S186000320"", ""S186000130"", ""S186001150"", ""S186001270"", ""S186000650"", ""S186001090""]","[2025042200046, 2025042200047, 2025042200082, 2025042200083, 2025042200084]",202504222028,202504222108,IONIQ5,POOL
202504220010,TW_000000003,"[""S413000840"", ""S413001630"", ""S413000050"", ""S413000830""]","[2025042200109, 2025042200110, 2025042200111]",202504221222,202504221237,carnivalReg,POOL
202504220010,TW_000000010,"[""S186000320"", ""S186000180"", ""S186001070"", ""S186001090""]","[2025042200049, 2025042200050, 2025042200051]",202504222020,202504222048,IONIQ5,POOL
202504220011,TW_000000003,"[""S413000840"", ""S413000740"", ""S413000190"", ""S413000830""]","[2025042200124, 2025042200125, 2025042200126]",202504221446,202504221502,carnivalReg,POOL
202504220011,TW_000000010,"[""S186000320"", ""S186000720"", ""S186001050"", ""S186001090""]","[2025042200064, 2025042200065, 2025042200066]",202504222121,202504222145,IONIQ5,POOL
202504220012,TW_000000003,"[""S413000840"", ""S413000080"", ""S413000250"", ""S413001120"", ""S413001670"", ""S413000830""]","[2025042200130, 2025042200131, 2025042200137, 2025042200138, 2025042200139]",202504221504,202504221525,carnivalReg,POOL
202504220012,TW_000000010,"[""S186000320"", ""S186001200"", ""S186000780"", ""S186001090""]","[2025042200073, 2025042200074, 2025042200075]",202504221922,202504221940,IONIQ5,POOL
202504220013,TW_000000003,"[""S413000840"", ""S413000730"", ""S413000190"", ""S413000830""]","[2025042200143, 2025042200144, 2025042200145]",202504221529,202504221544,carnivalReg,POOL
202504220013,TW_000000010,"[""S186000320"", ""S186000750"", ""S186000070"", ""S186001090""]","[2025042200085, 2025042200086, 2025042200087]",202504220857,202504220917,IONIQ5,POOL
202504220014,TW_000000003,"[""S413000840"", ""S413000050"", ""S413000280"", ""S413000910"", ""S413000110"", ""S413000830""]","[2025042200149, 2025042200152, 2025042200153, 2025042200154, 2025042200155]",202504221557,202504221623,carnivalReg,POOL
202504220014,TW_000000010,"[""S186000320"", ""S186000620"", ""S186001030"", ""S186000970"", ""S186000640"", ""S186001090""]","[2025042200100, 2025042200101, 2025042200106, 2025042200107, 2025042200108]",202504221204,202504221243,IONIQ5,POOL
202504220015,TW_000000003,"[""S413000840"", ""S413001180"", ""S413000470"", ""S413000830""]","[2025042200159, 2025042200160, 2025042200161]",202504221613,202504221628,carnivalReg,POOL
202504220015,TW_000000010,"[""S186000320"", ""S186000930"", ""S186001060"", ""S186001090""]","[2025042200103, 2025042200104, 2025042200105]",202504221205,202504221228,IONIQ5,POOL
202504220016,TW_000000003,"[""S413000840"", ""S413001000"", ""S413000530"", ""S413000830""]","[2025042200181, 2025042200182, 2025042200183]",202504221806,202504221819,carnivalReg,POOL
202504220016,TW_000000010,"[""S186000320"", ""S186000370"", ""S186000070"", ""S186001090""]","[2025042200112, 2025042200113, 2025042200114]",202504221246,202504221311,IONIQ5,POOL
202504220017,TW_000000003,"[""S413000840"", ""S413000350"", ""S413000250"", ""S413000830""]","[2025042200187, 2025042200188, 2025042200189]",202504221825,202504221838,carnivalReg,POOL
202504220017,TW_000000010,"[""S186000320"", ""S186000650"", ""S186000930"", ""S186001090""]","[2025042200118, 2025042200119, 2025042200120]",202504221302,202504221320,IONIQ5,POOL
202504220018,TW_000000003,"[""S413000840"", ""S413000780"", ""S413001080"", ""S413000830""]","[2025042200190, 2025042200191, 2025042200192]",202504221906,202504221917,carnivalReg,POOL
202504220018,TW_000000010,"[""S186000320"", ""S186001300"", ""S186001390"", ""S186001090""]","[2025042200121, 2025042200122, 2025042200123]",202504221353,202504221416,IONIQ5,POOL
202504220019,TW_000000003,"[""S413000840"", ""S413000740"", ""S413000880"", ""S413000830""]","[2025042200193, 2025042200194, 2025042200195]",202504221910,202504221921,carnivalReg,POOL
202504220019,TW_000000010,"[""S186000320"", ""S186000670"", ""S186000310"", ""S186001090""]","[2025042200127, 2025042200128, 2025042200129]",202504221451,202504221506,IONIQ5,POOL
202504220020,TW_000000010,"[""S186000320"", ""S186001230"", ""S186000140"", ""S186001090""]","[2025042200140, 2025042200141, 2025042200142]",202504221523,202504221545,IONIQ5,POOL
202504220021,TW_000000010,"[""S186000320"", ""S186001250"", ""S186001330"", ""S186001090""]","[2025042200156, 2025042200157, 2025042200158]",202504221603,202504221625,IONIQ5,POOL
202504220022,TW_000000010,"[""S186000320"", ""S186000470"", ""S186000810"", ""S186001090""]","[2025042200162, 2025042200163, 2025042200164]",202504221617,202504221642,IONIQ5,POOL
202504220023,TW_000000010,"[""S186000320"", ""S186000890"", ""S186000630"", ""S186001090""]","[2025042200169, 2025042200170, 2025042200171]",202504221738,202504221810,IONIQ5,POOL
202504220024,TW_000000010,"[""S186000320"", ""S186000850"", ""S186001220"", ""S186001090""]","[2025042200175, 2025042200176, 2025042200177]",202504221749,202504221806,IONIQ5,POOL
202504220025,TW_000000010,"[""S186000320"", ""S186000490"", ""S186001040"", ""S186001090""]","[2025042200178, 2025042200179, 2025042200180]",202504221756,202504221821,IONIQ5,POOL
202504220026,TW_000000010,"[""S186000320"", ""S186000430"", ""S186001460"", ""S186001090""]","[2025042200184, 2025042200185, 2025042200186]",202504221824,202504221849,IONIQ5,POOL
202504220027,TW_000000010,"[""S186000320"", ""S186001230"", ""S186000520"", ""S186001090""]","[2025042200199, 2025042200200, 2025042200201]",202504221958,202504222022,IONIQ5,POOL
202504230001,TW_000000001,"[""S413000840"", ""S413000570"", ""S413001590"", ""S413000100"", ""S413000390"", ""S413000950"", ""S413000790"", ""S413000640"", ""S413000830""]","[2025042300004, 2025042300017, 2025042300018, 2025042300025, 2025042300026, 2025042300170, 2025042300016, 2025042300171]",202504231600,202504231629,carnivalReg,POOL
202504230001,TW_000000002,"[""S413000840"", ""S413000820"", ""S413001000"", ""S413000180"", ""S413000920"", ""S413000830""]","[2025042300013, 2025042300014, 2025042300202, 2025042300203, 2025042300204]",202504231859,202504231921,carnivalReg,POOL
