dispatchID,messageTime,passengerID,requestID,routeIDs,pickupStationName,dropoffStationName,reserveType,onboardingTime,dropoffTime,linkIDs,pickupStationID,dropoffStationID,tripID,operationID,vehicleID
D017097fa8,1745364488948,340,req-0517,[2025042400005],No Station Name,No Station Name,1,202504240900,202504240906,"[""L413003500"", ""L413002480"", ""L413001730"", ""L413002460"", ""L413002450"", ""L413002440"", ""L413004760"", ""L413003880"", ""L413004740"", ""L413000860"", ""L413005060"", ""L413000890"", ""L413005070"", ""L413000910"", ""L413000940"", ""L413005100"", ""L413000950"", ""L413000960"", ""L413000600"", ""L413005120"", ""L413000980"", ""L413000470"", ""L413001000"", ""L413001030"", ""L413003820"", ""L413001050"", ""L413001010"", ""L413001060""]",S413000360,S413001150,Td37b8b08b,202504240001,TW_000000001
D017504aba,1750305003960,932,req-4707,[2025062000020],국립세종도서관,No Station Name,1,202506201300,202506201303,"[""L413002450"", ""L413000680"", ""L413000170"", ""L413005030"", ""L413001150"", ""L413001140"", ""L413001080"", ""L413001070"", ""L413000790"", ""L413002580"", ""L413002600""]",S413000650,S413000910,T66e7dce4f,202506200001,TW_000000003
D01843f2e6,1751254981542,807,req-6225,[2025070100026],No Station Name,No Station Name,1,202507012030,202507012034,"[""L413001850"", ""L413001880"", ""L413003990"", ""L413001900"", ""L413001930"", ""L413004000"", ""L413004050"", ""L413004070"", ""L413004030"", ""L413004090"", ""L413001040"", ""L413004100"", ""L413001060"", ""L413000440"", ""L413000990"", ""L413000460"", ""L413002240"", ""L413002250"", ""L413004810"", ""L413004830""]",S413000010,S413000510,T83603efae,202507010004,TW_000000003
D019db8295,1745795227949,64,req-1198,[2025042900005],No Station Name,No Station Name,1,202504291030,202504291038,"[""L186000200"", ""L186002490"", ""L186002470"", ""L186002290"", ""L186000770"", ""L186000780"", ""L186002810"", ""L186002800"", ""L186000540"", ""L186000050"", ""L186002820"", ""L186002310"", ""L186001710"", ""L186002300"", ""L186002480"", ""L186002500"", ""L186002760"", ""L186000360"", ""L186000370"", ""L186000380"", ""L186000390"", ""L186003530"", ""L186000140"", ""L186002610""]",S186000190,S186000060,T69c318188,202504290001,TW_000000010
D01b13ebaa,1752896281654,526,req-7767,[2025071900059],문화체육관광부,No Station Name,2,202507191245,202507191248,"[""L413001070"", ""L413002550"", ""L413002530"", ""L413002520"", ""L413000730"", ""L413002690""]",S413001110,S413000870,T55c76f8ff,202507190010,TW_000000001
D01e9cea5c,1747621329417,800,req-4125,[2025051900041],No Station Name,No Station Name,2,202505191133,202505191144,"[""L186000470"", ""L186002170"", ""L186000480"", ""L186000670"", ""L186002140"", ""L186002110"", ""L186000450"", ""L186000460"", ""L186001020"", ""L186000990"", ""L186002270"", ""L186001010"", ""L186000200"", ""L186002490"", ""L186002470"", ""L186002290"", ""L186000770"", ""L186000780"", ""L186002810"", ""L186002800"", ""L186002740"", ""L186001030"", ""L186002330"", ""L186001040"", ""L186000740"", ""L186002180""]",S186001210,S186000910,Tda336e365,202505190006,TW_000000011
D020206de0,1748913365822,496,req-3160,[2025060400020],No Station Name,No Station Name,1,202506042130,202506042134,"[""L413002350"", ""L413004780"", ""L413002360"", ""L413000520"", ""L413002340"", ""L413002330"", ""L413004770"", ""L413002290"", ""L413002270"", ""L413004800"", ""L413004840"", ""L413004820"", ""L413001000"", ""L413001030"", ""L413003820"", ""L413001050"", ""L413000450"", ""L413003930"", ""L413004120"", ""L413001990"", ""L413004110"", ""L413004160"", ""L413004180"", ""L413004200""]",S413000530,S413000050,T5e4a1f381,202506040002,TW_000000003
D021963268,1746406209342,844,req-2176,[2025050600014],No Station Name,No Station Name,1,202505061630,202505061633,"[""L186000410"", ""L186000100"", ""L186002720"", ""L186000670"", ""L186002140""]",S186000920,S186000510,Tcf2cf81c5,202505060002,TW_000000011
D026415d6e,1751512503819,47,req-5274,[2025070400032],No Station Name,No Station Name,1,202507041900,202507041910,"[""L186001230"", ""L186001170"", ""L186001100"", ""L186001900"", ""L186001890"", ""L186001880"", ""L186002410"", ""L186002400"", ""L186001140"", ""L186000970"", ""L186001800"", ""L186002380"", ""L186002220"", ""L186001790"", ""L186001780"", ""L186001770"", ""L186001760"", ""L186001750"", ""L186001740"", ""L186002360"", ""L186000010"", ""L186000020"", ""L186001730"", ""L186001720"", ""L186002210"", ""L186000030"", ""L186000040"", ""L186002340"", ""L186002690"", ""L186002680"", ""L186002320"", ""L186002790"", ""L186000050"", ""L186002820"", ""L186002310"", ""L186001710"", ""L186002300"", ""L186002480"", ""L186002500"", ""L186002760"", ""L186000360"", ""L186003240"", ""L186003250"", ""L186000170"", ""L186000230"", ""L186002260"", ""L186002230"", ""L186000240"", ""L186000330"", ""L186000340"", ""L186000840"", ""L186000820""]",S186000400,S186001130,Te0d8cd4de,202507040006,TW_000000008
D026967495,1750305907177,74,req-4711,[2025062000023],No Station Name,정부세종청사 중앙동,1,202506201500,202506201506,"[""L413004620"", ""L413002610"", ""L413002630"", ""L413001750"", ""L413002590"", ""L413001130"", ""L413005040"", ""L413001160"", ""L413001170"", ""L413000160"", ""L413005020"", ""L413000690"", ""L413001180"", ""L413004980"", ""L413001200"", ""L413005010"", ""L413004960"", ""L413001220"", ""L413004940"", ""L413000660"", ""L413004920"", ""L413000520"", ""L413002340"", ""L413000530"", ""L413001250"", ""L413004930"", ""L413000650"", ""L413001240"", ""L413001230""]",S413000380,S413001070,T708ff6252,202506200002,TW_000000003
D028ec178d,1752452046592,430,req-7060,[2025071500014],No Station Name,No Station Name,1,202507151830,202507151835,"[""L413003220"", ""L413000540"", ""L413000570"", ""L413000580"", ""L413000630"", ""L413000640"", ""L413004730"", ""L413000670"", ""L413004750"", ""L413000170"", ""L413005030"", ""L413001150"", ""L413001140"", ""L413001080"", ""L413001070"", ""L413002550"", ""L413002530"", ""L413002520""]",S413001260,S413000860,T57f907f24,202507150003,TW_000000001
D029e1d046,1745126588241,256,req-0163,[2025042100062],No Station Name,No Station Name,1,202504211500,202504211506,"[""L413002880"", ""L413003120"", ""L413001540"", ""L413002990"", ""L413003210"", ""L413002890"", ""L413003200"", ""L413002160"", ""L413002180"", ""L413002200"", ""L413002220"", ""L413002240"", ""L413002250"", ""L413004810"", ""L413004830"", ""L413004790"", ""L413002260"", ""L413002280"", ""L413002300"", ""L413002310"", ""L413002320"", ""L413002350"", ""L413004780"", ""L413002360"", ""L413005210"", ""L413005220"", ""L413005190"", ""L413003480"", ""L413004450"", ""L413003730""]",S413001240,S413000340,Tbcb725dc2,202504210005,TW_000000003
D02b92b29c,1753230250601,989,req-8270,[2025072400014],No Station Name,No Station Name,1,202507241130,202507241137,"[""L413001980"", ""L413004230"", ""L413004210"", ""L413004190"", ""L413004170"", ""L413004140"", ""L413001970"", ""L413000330"", ""L413001040"", ""L413004100"", ""L413001060"", ""L413000440"", ""L413000990"", ""L413000460"", ""L413000970"", ""L413000590"", ""L413005110"", ""L413000930"", ""L413005090"", ""L413000920"", ""L413000900"", ""L413005080"", ""L413000850"", ""L413005050"", ""L413000610"", ""L413000630"", ""L413000640"", ""L413004730"", ""L413000670"", ""L413004750"", ""L413000700"", ""L413000010"", ""L413000720"", ""L413003500""]",S413000160,S413000240,Tc813bc5db,202507240003,TW_000000001
D02c0e1002,1747782124690,967,req-4359,[2025052200002],No Station Name,No Station Name,1,202505221300,202505221308,"[""L413000970"", ""L413000590"", ""L413005110"", ""L413000930"", ""L413005090"", ""L413000920"", ""L413000900"", ""L413005080"", ""L413000850"", ""L413005050"", ""L413000610"", ""L413000630"", ""L413000640"", ""L413004730"", ""L413000670"", ""L413004750"", ""L413000170"", ""L413005030"", ""L413001150"", ""L413001140"", ""L413001080"", ""L413001070""]",S413000450,S413000890,T0c86b31e8,202505220001,TW_000000005
D02cf1dbc4,1752147485215,8,req-6633,[2025071000050],No Station Name,No Station Name,2,202507102049,202507102108,"[""L186000470"", ""L186002170"", ""L186000480"", ""L186000670"", ""L186002140"", ""L186002110"", ""L186000450"", ""L186000460"", ""L186001020"", ""L186000990"", ""L186002270"", ""L186001010"", ""L186000200"", ""L186002490"", ""L186002470"", ""L186002290"", ""L186000770"", ""L186000780"", ""L186002810"", ""L186002800"", ""L186002740"", ""L186001030"", ""L186002330"", ""L186001040"", ""L186000740"", ""L186002180"", ""L186002200"", ""L186002190"", ""L186000210"", ""L186000960"", ""L186002350"", ""L186001460"", ""L186001440"", ""L186002370"", ""L186001820"", ""L186001810"", ""L186001540"", ""L186001430"", ""L186001850"", ""L186002390"", ""L186002770"", ""L186001840"", ""L186001830"", ""L186001860"", ""L186001870"", ""L186002420"", ""L186001510"", ""L186001570"", ""L186001580"", ""L186001930"", ""L186002430"", ""L186001340"", ""L186001370"", ""L186001950"", ""L186001970"", ""L186001600"", ""L186001590"", ""L186002000"", ""L186002580"", ""L186002020"", ""L186001620"", ""L186001450"", ""L186002450"", ""L186002030"", ""L186001420"", ""L186002510"", ""L186002520""]",S186001210,S186000600,T819b7a490,202507100007,TW_000000011
D02f9ed2c4,1746842941714,267,req-2869,[2025051100023],No Station Name,산업통상자원부 정문,1,202505111400,202505111403,"[""L413002570"", ""L413002550"", ""L413002530"", ""L413002520""]",S413000900,S413000820,Tf5fff9d0d,202505110002,TW_000000002
D030e683fa,1747266723733,623,req-3544,[2025051600008],국립세종도서관,No Station Name,1,202505161730,202505161737,"[""L413002460"", ""L413002450"", ""L413002440"", ""L413004760"", ""L413003880"", ""L413004740"", ""L413000860"", ""L413005060"", ""L413000890"", ""L413005070"", ""L413000910"", ""L413000940"", ""L413005100"", ""L413000950"", ""L413000960"", ""L413000600"", ""L413005120"", ""L413000980"", ""L413000470"", ""L413001000"", ""L413001030"", ""L413003820"", ""L413001050"", ""L413000450"", ""L413003930"", ""L413004120"", ""L413000320"", ""L413001970"", ""L413001960"", ""L413004080"", ""L413004020"", ""L413004060"", ""L413004040"", ""L413004010"", ""L413001940"", ""L413001920"", ""L413001910"", ""L413001890"", ""L413001870"", ""L413001830"", ""L413000090"", ""L413001850"", ""L413001880"", ""L413003990""]",S413000670,S413000030,Tbbbe5a7c0,202505160001,TW_000000002
D0334edf0c,1750294868359,811,req-4673,[2025061900041],국립세종도서관,No Station Name,2,202506191008,202506191010,"[""L413002450"", ""L413002440"", ""L413004760"", ""L413003880"", ""L413004740"", ""L413002430"", ""L413000610"", ""L413000630"", ""L413000640""]",S413000650,S413000610,T2a8fa0408,202506190006,TW_000000003
D0342429d6,1749778322612,912,req-3869,[2025061300011],No Station Name,No Station Name,2,202506131040,202506131052,"[""L186001850"", ""L186002390"", ""L186002770"", ""L186001840"", ""L186001830"", ""L186001860"", ""L186001870"", ""L186002420"", ""L186001510"", ""L186001180"", ""L186001170"", ""L186001100"", ""L186001900"", ""L186001890"", ""L186001880"", ""L186002410"", ""L186002400"", ""L186001140"", ""L186000970"", ""L186001800"", ""L186002380"", ""L186002220"", ""L186001790"", ""L186001780"", ""L186001770"", ""L186001760"", ""L186001750"", ""L186001740"", ""L186002360"", ""L186000010"", ""L186000020"", ""L186001730"", ""L186001720"", ""L186002210"", ""L186000030"", ""L186000040"", ""L186002340"", ""L186002690"", ""L186002680"", ""L186002320"", ""L186002790"", ""L186000050"", ""L186002820"", ""L186002310"", ""L186001710"", ""L186002300"", ""L186002480"", ""L186002500"", ""L186002760"", ""L186000360"", ""L186003240"", ""L186003250"", ""L186000170"", ""L186000230"", ""L186002260"", ""L186002230"", ""L186000240"", ""L186000330"", ""L186000340"", ""L186000840""]",S186000460,S186001080,T6565b08f1,202506130001,TW_000000008
D034a36fea,1749345902792,38,req-3847,[2025060900011],No Station Name,문화체육관광부,1,202506091400,202506091403,"[""L413002340"", ""L413000530"", ""L413001250"", ""L413004930"", ""L413000650"", ""L413001240"", ""L413001230"", ""L413004950"", ""L413001210"", ""L413004970"", ""L413001190"", ""L413005000"", ""L413004990"", ""L413000680"", ""L413000170"", ""L413005030"", ""L413001150"", ""L413001140""]",S413000540,S413001110,T62d553a5b,202506090001,TW_000000001
D034a978f8,1750987984795,181,req-5787,[2025062800023],No Station Name,국립세종도서관,1,202506281900,202506281906,"[""L413004240"", ""L413004260"", ""L413002010"", ""L413004300"", ""L413004310"", ""L413001340"", ""L413004860"", ""L413000510"", ""L413004880"", ""L413001320"", ""L413004870"", ""L413001300"", ""L413001290"", ""L413001260"", ""L413004900"", ""L413000530"", ""L413002360"", ""L413005210"", ""L413005220"", ""L413005190"", ""L413003480"", ""L413004450"", ""L413003730"", ""L413004470"", ""L413003710"", ""L413003690"", ""L413004490"", ""L413003670"", ""L413004510""]",S413000050,S413000670,T40ace6611,202506280001,TW_000000003
D037a2a0bc,1745383449853,458,req-0569,[2025042400050],No Station Name,No Station Name,1,202504241907,202504241910,"[""L413000670"", ""L413004750"", ""L413000700"", ""L413000690"", ""L413002450"", ""L413002440""]",S413000600,S413000700,T8aa5c6876,202504240001,TW_000000003
D03873c578,1747793708164,303,req-4396,[2025052200020],No Station Name,No Station Name,1,202505221500,202505221502,"[""L413004740"", ""L413002430"", ""L413000610""]",S413000710,S413001190,Tdcb54257e,202505220003,TW_000000002
D03ab1e60a,1747868771230,861,req-4498,[2025052300005],No Station Name,No Station Name,1,202505231300,202505231310,"[""L186000990"", ""L186002270"", ""L186001010"", ""L186000200"", ""L186002490"", ""L186002470"", ""L186002290"", ""L186000770"", ""L186000780"", ""L186002810"", ""L186002800"", ""L186000540"", ""L186000050"", ""L186002820"", ""L186002310"", ""L186001710"", ""L186002300"", ""L186002480"", ""L186002500"", ""L186002760"", ""L186000360"", ""L186000370"", ""L186000380"", ""L186000390"", ""L186003530"", ""L186000410"", ""L186000100"", ""L186002720""]",S186000830,S186000880,T98dec9d60,202505230001,TW_000000007
D03c6e9647,1745408173793,69,req-0649,"[2025042400107, 2025042400108]",No Station Name,No Station Name,1,202504242101,202504242108,"[""L413000890"", ""L413005070"", ""L413000910"", ""L413000880"", ""L413000920"", ""L413000900"", ""L413005080"", ""L413000850"", ""L413005050"", ""L413002420"", ""L413002410"", ""L413002400"", ""L413002980"", ""L413002880"", ""L413003120"", ""L413001540"", ""L413002990"", ""L413003210"", ""L413002890"", ""L413003200"", ""L413002160"", ""L413002180"", ""L413002200"", ""L413002220"", ""L413002240"", ""L413000470"", ""L413001000"", ""L413001030"", ""L413003820"", ""L413001050""]",S413001600,S413001130,T2bb93ea05,202504240009,TW_000000003
D03ef16782,1752457086861,706,req-7072,[2025071500017],반석역,No Station Name,1,202507151500,202507151508,"[""L186001760"", ""L186001750"", ""L186001740"", ""L186002360"", ""L186000010"", ""L186000020"", ""L186001730"", ""L186001720"", ""L186002210"", ""L186000030"", ""L186000040"", ""L186002340"", ""L186002690"", ""L186002680"", ""L186002320"", ""L186002790"", ""L186000050"", ""L186002820"", ""L186002310"", ""L186001710"", ""L186002300"", ""L186002480"", ""L186002500"", ""L186002760"", ""L186000360"", ""L186000370"", ""L186000380"", ""L186000390"", ""L186003530"", ""L186000410"", ""L186000100""]",S186000680,S186000730,T5d40cc6c0,202507150001,TW_000000011
D041d3f5d0,1751419263975,103,req-5114,[2025070300017],No Station Name,No Station Name,1,202507031900,202507031908,"[""L186002220"", ""L186001790"", ""L186001780"", ""L186001770"", ""L186001760"", ""L186001750"", ""L186001740"", ""L186002360"", ""L186000010"", ""L186000020"", ""L186001730"", ""L186001720"", ""L186002210"", ""L186000030"", ""L186000040"", ""L186002340"", ""L186002690"", ""L186002680"", ""L186002320"", ""L186002790"", ""L186000050"", ""L186002820"", ""L186002310"", ""L186001710"", ""L186002300"", ""L186002480"", ""L186002500"", ""L186002760"", ""L186000360"", ""L186003240"", ""L186003250"", ""L186000170"", ""L186000230"", ""L186002260"", ""L186002230"", ""L186000310"", ""L186003040""]",S186000710,S186001430,T7198005cb,202507030001,TW_000000008
D04208fb0f,1750720805457,37,req-5351,[2025062500011],산업통상자원부 정문,국립세종도서관,1,202506251700,202506251705,"[""L413002690"", ""L413002540"", ""L413002560"", ""L413002580"", ""L413000800"", ""L413001130"", ""L413005040"", ""L413001160"", ""L413001170"", ""L413000160"", ""L413005020"", ""L413000010"", ""L413000720"", ""L413003500"", ""L413002480""]",S413000820,S413000670,Tcb9b178e4,202506250001,TW_000000001
D043d768b2,1745385486666,5,req-0577,[2025042400059],No Station Name,No Station Name,1,202504242130,202504242134,"[""L413003590"", ""L413004600"", ""L413003610"", ""L413003620"", ""L413004580"", ""L413003630"", ""L413003640"", ""L413003650"", ""L413003660"", ""L413003400"", ""L413004530"", ""L413003500"", ""L413002480"", ""L413001730"", ""L413002460"", ""L413001180""]",S413000210,S413000960,T79339e176,202504240003,TW_000000003
D045cab692,1753075510855,256,req-8057,[2025072200026],No Station Name,국토교통부 후문,1,202507221730,202507221736,"[""L413002520"", ""L413002510"", ""L413004640"", ""L413002490"", ""L413004650"", ""L413004670"", ""L413004690"", ""L413004710"", ""L413002950"", ""L413003080"", ""L413003260"", ""L413002850"", ""L413003250"", ""L413001510"", ""L413002970"", ""L413003240"", ""L413003230"", ""L413003220"", ""L413001530"", ""L413002980"", ""L413003110"", ""L413002880"", ""L413003120"", ""L413001540"", ""L413002990"", ""L413003210"", ""L413002890"", ""L413003200"", ""L413002160"", ""L413002180"", ""L413002200""]",S413000790,S413000460,Tf1532106c,202507220005,TW_000000001
D045eda434,1746767701248,205,req-2770,[2025051000032],No Station Name,No Station Name,1,202505102030,202505102038,"[""L413002670"", ""L413003530"", ""L413002680"", ""L413002610"", ""L413002630"", ""L413001750"", ""L413002590"", ""L413001130"", ""L413005040"", ""L413001160"", ""L413001170"", ""L413000160"", ""L413005020"", ""L413000690"", ""L413002450"", ""L413002440"", ""L413004760"", ""L413003880"", ""L413004740"", ""L413000860"", ""L413005060"", ""L413000890"", ""L413005070"", ""L413000910"", ""L413000940"", ""L413005100"", ""L413000950"", ""L413000960"", ""L413000600"", ""L413005120"", ""L413000980"", ""L413000470"", ""L413001000"", ""L413001030"", ""L413003820"", ""L413001050"", ""L413000450"", ""L413003930"", ""L413004120"", ""L413000320"", ""L413001970"", ""L413001960"", ""L413004080"", ""L413004020"", ""L413004060"", ""L413004040"", ""L413004010"", ""L413001940"", ""L413001920"", ""L413001910"", ""L413001890"", ""L413001870"", ""L413001830"", ""L413000090"", ""L413001850"", ""L413001880""]",S413000920,S413000020,T6f6d54474,202505100004,TW_000000002
D0476340fb,1745211365058,307,req-0293,[2025042100168],No Station Name,No Station Name,2,202504211405,202504211411,"[""L413002690"", ""L413000740"", ""L413002520"", ""L413002510"", ""L413004640"", ""L413002490"", ""L413004650"", ""L413004670"", ""L413004690"", ""L413004710"", ""L413002950"", ""L413003080"", ""L413003260"", ""L413002850"", ""L413003250"", ""L413001510"", ""L413002970"", ""L413003240"", ""L413003230"", ""L413003220"", ""L413001530"", ""L413002980"", ""L413003110"", ""L413002880"", ""L413003120"", ""L413001540"", ""L413002990"", ""L413003210"", ""L413002890"", ""L413003200"", ""L413002160"", ""L413002180"", ""L413002200"", ""L413002220""]",S413000860,S413001160,T639a3e229,202504210002,TW_000000002
D047b5f296,1746929582174,799,req-3009,[2025051200014],No Station Name,No Station Name,1,202505121230,202505121234,"[""L413002240"", ""L413002250"", ""L413004810"", ""L413004830"", ""L413004790"", ""L413002260"", ""L413002280"", ""L413002300"", ""L413002310"", ""L413002320"", ""L413002350"", ""L413004780"", ""L413002360"", ""L413005210"", ""L413005220""]",S413000490,S413000560,T397bad050,202505120001,TW_000000001
D049b6f30e,1745540104110,758,req-0796,[2025042600014],No Station Name,No Station Name,1,202504261530,202504261540,"[""L186001040"", ""L186000740"", ""L186002180"", ""L186002200"", ""L186002190"", ""L186000210"", ""L186000510"", ""L186000010"", ""L186000020"", ""L186001730"", ""L186001720"", ""L186002210"", ""L186000030"", ""L186000040"", ""L186002340"", ""L186002690"", ""L186002680"", ""L186002320"", ""L186002790"", ""L186000050"", ""L186002820"", ""L186002310"", ""L186001710"", ""L186002300"", ""L186002480"", ""L186002500"", ""L186002760"", ""L186000360"", ""L186003240"", ""L186003250"", ""L186000170"", ""L186000230"", ""L186002260"", ""L186002230"", ""L186000240"", ""L186000330"", ""L186000340"", ""L186000840"", ""L186000820""]",S186000760,S186001150,Tf16c6b517,202504260001,TW_000000010
D04b67c24f,1749608826895,299,req-4264,[2025061100050],정부세종청사 중앙동,No Station Name,2,202506111134,202506111138,"[""L413001210"", ""L413004970"", ""L413001190"", ""L413005000"", ""L413004990"", ""L413002440"", ""L413004760"", ""L413003880"", ""L413004740"", ""L413000860"", ""L413005060"", ""L413000890"", ""L413005070"", ""L413000910"", ""L413000940"", ""L413005100"", ""L413000950"", ""L413000960"", ""L413000600"", ""L413005120"", ""L413000980"", ""L413000470"", ""L413002230""]",S413001070,S413000490,Tdcb122ecc,202506110008,TW_000000003
